office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
INTERN COMPENSATION - LEE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,163,NET PAYROLL EXPENSES,163,18074.95,18074.95,ok,block_running_total
SENATOR BEN RAY LUJAN,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,164,TRAVEL AND TRANSPORTATION OF PERSONS,164,682.51,682.51,ok,segment
SENATOR BEN RAY LUJAN,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,166,PERSONNEL BENEFITS,166,733.45,0.0,no_records,segment
SENATOR BEN RAY LUJAN,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,166,NET PAYROLL EXPENSES,166,733.45,0.0,no_records,block_running_total
SENATOR BEN RAY LUJAN,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,166,TRAVEL AND TRANSPORTATION OF PERSONS,168,15322.99,15322.99,ok,segment
SENATOR BEN RAY LUJAN,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,166,OTHER CONTRACTUAL SERVICES,168,6312.0,6312.0,ok,segment
SENATOR BEN RAY LUJAN,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,166,ACQUISITION OF ASSETS,168,109464.64,109464.64,ok,segment
SENATOR BEN RAY LUJAN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,170,PERSONNEL COMP. FULL-TIME PERMANENT,171,1442396.33,1442396.33,ok,segment
SENATOR BEN RAY LUJAN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,170,RE-EMPLOYED ANNUITANTS,171,6624.0,0.0,no_records,segment
SENATOR BEN RAY LUJAN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,170,PERSONNEL BENEFITS,171,4408.4,0.0,no_records,segment
SENATOR BEN RAY LUJAN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,170,NET PAYROLL EXPENSES,171,1453428.73,1442396.33,fail,block_running_total
SENATOR BEN RAY LUJAN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,170,TRAVEL AND TRANSPORTATION OF PERSONS,177,41808.78,41808.78,ok,segment
SENATOR BEN RAY LUJAN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,170,OTHER CONTRACTUAL SERVICES,178,4352.39,4352.39,ok,segment
SENATOR BEN RAY LUJAN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,170,ACQUISITION OF ASSETS,178,2586.58,2586.58,ok,segment
INTERN COMPENSATION - LUJAN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,179,PERSONNEL COMP. FULL-TIME PERMANENT,179,7159.4,7159.4,ok,segment
INTERN COMPENSATION - LUJAN,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,179,NET PAYROLL EXPENSES,179,7159.4,7159.4,ok,block_running_total
SENATOR CYNTHIA LUMMIS,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,182,PERSONNEL BENEFITS,182,107.95,0.0,no_records,segment
SENATOR CYNTHIA LUMMIS,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,182,NET PAYROLL EXPENSES,182,107.95,0.0,no_records,block_running_total
SENATOR CYNTHIA LUMMIS,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,182,TRAVEL AND TRANSPORTATION OF PERSONS,186,92487.03,92487.03,ok,segment
SENATOR CYNTHIA LUMMIS,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,182,OTHER CONTRACTUAL SERVICES,186,100.0,100.0,ok,segment
SENATOR CYNTHIA LUMMIS,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,182,ACQUISITION OF ASSETS,187,56900.94,56900.94,ok,segment
SENATOR CYNTHIA LUMMIS,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,189,PERSONNEL COMP. FULL-TIME PERMANENT,190,1631359.52,1631359.52,ok,segment
SENATOR CYNTHIA LUMMIS,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,189,PERSONNEL BENEFITS,190,412.0,0.0,no_records,segment
SENATOR CYNTHIA LUMMIS,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,189,NET PAYROLL EXPENSES,190,1631771.52,1631359.52,fail,block_running_total
SENATOR CYNTHIA LUMMIS,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,189,TRAVEL AND TRANSPORTATION OF PERSONS,203,116258.23,116258.23,ok,segment
SENATOR CYNTHIA LUMMIS,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,189,OTHER CONTRACTUAL SERVICES,203,1880.0,1880.0,ok,segment
SENATOR CYNTHIA LUMMIS,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,189,ACQUISITION OF ASSETS,203,16.86,16.86,ok,segment
INTERN COMPENSATION - LUMMIS,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,204,PERSONNEL COMP. FULL-TIME PERMANENT,204,21700.0,21700.0,ok,segment
INTERN COMPENSATION - LUMMIS,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,204,NET PAYROLL EXPENSES,204,21700.0,21700.0,ok,block_running_total
