office,funding_year,start_page,status,record_count,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
MEMBER PROTECTION - BLUNT ROCHESTER,2026,596,ok,0,0,0.0,0.0,0,0
SENATOR CORY BOOKER,2024,597,ok,1,1,112947.52,0.0,0,0
INTERN COMPENSATION - BOOKER,2024,598,ok,0,0,0.0,0.0,0,0
SENATOR CORY BOOKER,2025,599,ok,32,32,8128.1,0.0,0,0
INTERN COMPENSATION - BOOKER,2025,601,ok,0,0,0.0,0.0,0,0
SENATOR CORY BOOKER,2026,602,ok,122,122,2222784.0,0.0,0,0
INTERN COMPENSATION - BOOKER,2026,607,ok,21,21,52499.88,0.0,0,0
MEMBER PROTECTION - BOOKER,2026,608,ok,0,0,0.0,0.0,0,0
SENATOR JOHN BOOZMAN,2024,609,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BOOZMAN,2024,610,ok,0,0,0.0,0.0,0,0
SENATOR JOHN BOOZMAN,2025,611,ok,32,32,9752.48,0.0,0,0
INTERN COMPENSATION - BOOZMAN,2025,613,ok,0,0,0.0,0.0,0,0
SENATOR JOHN BOOZMAN,2026,614,ok,163,163,1606575.65,0.0,0,0
INTERN COMPENSATION - BOOZMAN,2026,621,ok,2,2,6288.29,0.0,0,0
MEMBER PROTECTION - BOOZMAN,2026,622,ok,0,0,0.0,0.0,0,0
SENATOR MIKE BRAUN,2024,623,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BRAUN,2024,624,ok,0,0,0.0,0.0,0,0
SENATOR MIKE BRAUN,2025,625,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BRAUN,2025,626,ok,0,0,0.0,0.0,0,0
SENATOR KATIE BRITT,2024,627,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BRITT,2024,628,ok,0,0,0.0,0.0,0,0
SENATOR KATIE BRITT,2025,629,ok,89,89,36037.98,0.0,0,0
INTERN COMPENSATION - BRITT,2025,633,ok,0,0,0.0,0.0,0,0
SENATOR KATIE BRITT,2026,634,ok,242,242,1682981.28,0.0,0,0
INTERN COMPENSATION - BRITT,2026,643,ok,0,0,0.0,0.0,0,0
MEMBER PROTECTION - BRITT,2026,644,ok,0,0,0.0,0.0,0,0
SENATOR SHERROD BROWN,2024,645,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BROWN,2024,646,ok,0,0,0.0,0.0,0,0
SENATOR SHERROD BROWN,2025,647,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BROWN,2025,648,ok,0,0,0.0,0.0,0,0
SENATOR THEODORE BUDD,2024,649,ok,1,1,120.0,0.0,0,0
INTERN COMPENSATION - BUDD,2024,650,ok,0,0,0.0,0.0,0,0
SENATOR THEODORE BUDD,2025,651,ok,190,190,291813.44,0.0,0,0
INTERN COMPENSATION - BUDD,2025,659,ok,0,0,0.0,0.0,0,0
SENATOR THEODORE BUDD,2026,660,ok,205,205,2091729.8,0.0,0,0
INTERN COMPENSATION - BUDD,2026,669,ok,7,7,22084.14,0.0,0,0
MEMBER PROTECTION - BUDD,2026,670,ok,0,0,0.0,0.0,0,0
SENATOR LAPHONZA BUTLER,2024,671,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BUTLER,2024,672,ok,0,0,0.0,0.0,0,0
SENATOR LAPHONZA BUTLER,2025,673,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BUTLER,2025,674,ok,0,0,0.0,0.0,0,0
SENATOR MARIA CANTWELL,2024,675,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CANTWELL,2024,676,ok,0,0,0.0,0.0,0,0
SENATOR MARIA CANTWELL,2025,677,ok,58,58,21280.66,0.0,0,0
INTERN COMPENSATION - CANTWELL,2025,680,ok,0,0,0.0,0.0,0,0
SENATOR MARIA CANTWELL,2026,681,ok,186,186,1940337.84,0.0,0,0
