office,funding_year,account,start_page,label,check_page,expected,actual,status,basis,second_opinion,independent_sum,context
INTERN COMPENSATION - KING,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,79,BANNER NET PAYROLL,79,0.0,0.0,banner_missing,banner,,,
INTERN COMPENSATION - KING,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,79,BANNER ORGANIZATION TOTALS,79,0.0,0.0,ok,banner,,,
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,PERSONNEL BENEFITS,80,403.35,0.0,no_records,segment,,,
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,NET PAYROLL EXPENSES,80,403.35,403.35,ok,block_running_total,,,
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,TRAVEL AND TRANSPORTATION OF PERSONS,81,2492.15,2492.15,ok,segment,,,
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,OTHER CONTRACTUAL SERVICES,81,500.0,500.0,ok,segment,,,
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,ACQUISITION OF ASSETS,81,7102.0,7102.0,ok,segment,,,
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,BANNER NET PAYROLL,80,881.84,403.35,fail,banner,,,fy_boundary_pattern
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,BANNER ORGANIZATION TOTALS,80,20847.26,10497.5,warn,banner,,,captured_bvb_mismatch
INTERN COMPENSATION - KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,82,BANNER NET PAYROLL,82,0.0,0.0,banner_missing,banner,,,
INTERN COMPENSATION - KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,82,BANNER ORGANIZATION TOTALS,82,0.0,0.0,ok,banner,,,
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,PERSONNEL COMP. FULL-TIME PERMANENT,84,1911981.86,1911981.86,ok,segment,,,
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,RE-EMPLOYED ANNUITANTS,84,4694.0,0.0,no_records,segment,,,
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,PERSONNEL BENEFITS,84,3429.9,0.0,no_records,segment,,,
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,NET PAYROLL EXPENSES,84,1920105.76,1920105.76,ok,block_running_total,,,
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,TRAVEL AND TRANSPORTATION OF PERSONS,91,40001.75,40001.75,ok,segment,,,
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,OTHER CONTRACTUAL SERVICES,91,2662.24,2662.24,ok,segment,,,
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,ACQUISITION OF ASSETS,91,343.41,343.41,ok,segment,,,
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,BANNER NET PAYROLL,83,1919627.27,1920105.76,fail,banner,,,fy_boundary_pattern
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,BANNER ORGANIZATION TOTALS,83,2031435.72,1963113.16,warn,banner,,,captured_bvb_mismatch
INTERN COMPENSATION - KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,92,BANNER NET PAYROLL,92,,0.0,not_applicable,banner,,,
INTERN COMPENSATION - KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,92,BANNER ORGANIZATION TOTALS,92,0.0,0.0,ok,banner,,,
SENATOR AMY KLOBUCHAR,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,93,TRAVEL AND TRANSPORTATION OF PERSONS,93,65.14,65.14,ok,segment,,,
SENATOR AMY KLOBUCHAR,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,93,BANNER NET PAYROLL,93,0.0,0.0,banner_missing,banner,,,
SENATOR AMY KLOBUCHAR,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,93,BANNER ORGANIZATION TOTALS,93,65.14,65.14,ok,banner,,,
INTERN COMPENSATION - KLOBUCHAR,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,94,BANNER NET PAYROLL,94,0.0,0.0,banner_missing,banner,,,
