office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2881,TRAVEL AND TRANSPORTATION OF PERSONS,2892,96019.29,96019.29,ok,segment
HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2881,OTHER CONTRACTUAL SERVICES,2893,42705.1,42705.1,ok,segment
HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2881,ACQUISITION OF ASSETS,2893,84.78,84.78,ok,segment
"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2896,ACQUISITION OF ASSETS,2896,2010.0,2010.0,ok,segment
"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2897,PERSONNEL COMP. FULL-TIME PERMANENT,2900,5694594.38,5694594.38,ok,segment
"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2897,RE-EMPLOYED ANNUITANTS,2900,46056.0,0.0,no_records,segment
"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2897,PERSONNEL BENEFITS,2900,13435.15,0.0,no_records,segment
"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2897,NET PAYROLL EXPENSES,2900,5754085.53,5694594.38,fail,block_running_total
"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2897,TRAVEL AND TRANSPORTATION OF PERSONS,2901,8606.55,8606.55,ok,segment
"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2897,OTHER CONTRACTUAL SERVICES,2902,12874.0,12874.0,ok,segment
"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2897,ACQUISITION OF ASSETS,2902,25638.2,25638.2,ok,segment
INDIAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2906,PERSONNEL COMP. FULL-TIME PERMANENT,2907,1148115.5,1148115.5,ok,segment
INDIAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2906,PERSONNEL BENEFITS,2907,1880.71,0.0,no_records,segment
INDIAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2906,NET PAYROLL EXPENSES,2907,1149996.21,1148115.5,fail,block_running_total
INDIAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2906,TRAVEL AND TRANSPORTATION OF PERSONS,2909,42368.31,42368.31,ok,segment
INDIAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2906,OTHER CONTRACTUAL SERVICES,2909,4257.0,4257.0,ok,segment
