office,funding_year,start_page,status,banner_status,record_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
INTELLIGENCE S.RES. 70C (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2176,ok,banner_missing,0,0,0,0.0,0.0,0,0
INTELLIGENCE S.RES. 70D (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2177,ok,fail,2,0,2,71.24,0.0,0,0
INTELLIGENCE S.RES. 70B (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2178,ok,fail,70,0,70,3066467.84,0.0,0,0
JUDICIARY S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2181,ok,banner_missing,0,0,0,0.0,0.0,0,0
JUDICIARY S.RES. 70B (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2182,ok,banner_missing,0,0,0,0.0,0.0,0,0
JUDICIARY S.RES. 70C (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2183,ok,banner_missing,2,0,2,8212.26,0.0,0,0
JUDICIARY S.RES. 70D (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2184,ok,fail,5,0,5,594.0,0.0,0,0
JUDICIARY S.RES. 70B (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2185,fail,fail,195,0,195,5481905.94,0.0,0,0
RULES & ADMINISTRATION S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2190,ok,banner_missing,0,0,0,0.0,0.0,0,0
RULES & ADMINISTRATION S.RES. 70B (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2191,ok,banner_missing,0,0,0,0.0,0.0,0,0
RULES & ADMINISTRATION S.RES. 70C (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2192,ok,banner_missing,7,0,7,23344.27,0.0,0,0
RULES & ADMINISTRATION S.RES. 70D (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2193,ok,fail,0,0,0,0.0,0.0,0,0
RULES & ADMINISTRATION S.RES. 70B (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2194,ok,fail,85,0,85,1396083.19,0.0,0,0
SMALL BUSINESS AND ENTREPRENEURSHIP S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2197,ok,banner_missing,0,0,0,0.0,0.0,0,0
SMALL BUSINESS AND ENTREPRENEURSHIP S.RES. 70B (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2198,ok,banner_missing,1,0,1,4200.0,0.0,0,0
SMALL BUSINESS AND ENTREPRENEURSHIP S.RES. 70C (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2199,ok,banner_missing,0,0,0,0.0,0.0,0,0
SMALL BUSINESS AND ENTREPRENEURSHIP S.RES. 70D (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2200,ok,fail,0,0,0,0.0,0.0,0,0
SMALL BUSINESS AND ENTREPRENEURSHIP S.RES. 70B (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2201,ok,fail,103,0,103,924649.17,0.0,0,0
SPECIAL COMMITTEE ON AGING S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2205,ok,banner_missing,0,0,0,0.0,0.0,0,0
SPECIAL COMMITTEE ON AGING S.RES. 70B (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2206,ok,banner_missing,0,0,0,0.0,0.0,0,0
SPECIAL COMMITTEE ON AGING S.RES. 70C (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2207,ok,banner_missing,0,0,0,0.0,0.0,0,0
SPECIAL COMMITTEE ON AGING S.RES. 70D (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2208,ok,fail,3,0,3,26840.06,0.0,0,0
SPECIAL COMMITTEE ON AGING S.RES. 70B (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2209,ok,fail,81,0,81,1124302.06,0.0,0,0
VETERANS' AFFAIRS S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2212,ok,banner_missing,0,0,0,0.0,0.0,0,0
VETERANS' AFFAIRS S.RES. 70B (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2213,ok,banner_missing,0,0,0,0.0,0.0,0,0
VETERANS' AFFAIRS S.RES. 70C (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2214,ok,banner_missing,0,0,0,0.0,0.0,0,0
VETERANS' AFFAIRS S.RES. 70D (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2215,ok,fail,1,0,1,1949.97,0.0,0,0
VETERANS' AFFAIRS S.RES. 70B (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2216,ok,fail,62,0,62,1553420.27,0.0,0,0
JT. SEL. CMTE. ON BUDGET & APPROP. REFORM.. S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2219,ok,banner_missing,0,0,0,0.0,0.0,0,0
JT. SEL. CMTE. ON SOLVENCY OF PENSION PLANS S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2220,ok,banner_missing,0,0,0,0.0,0.0,0,0
SPECIAL RESERVES S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2221,ok,banner_missing,0,0,0,0.0,0.0,0,0
SPECIAL RESERVES S.RES. 70B (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2222,ok,banner_missing,0,0,0,0.0,0.0,0,0
SPECIAL RESERVES S.RES. 70C (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2223,ok,banner_missing,0,0,0,0.0,0.0,0,0
SPECIAL RESERVES S.RES. 70D (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2224,ok,banner_missing,0,0,0,0.0,0.0,0,0
SPECIAL RESERVES S.RES. 70B (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2225,ok,banner_missing,0,0,0,0.0,0.0,0,0
MEMBER COMPENSATION,2019,2227,ok,banner_missing,0,0,0,0.0,0.0,0,0
MEMBER COMPENSATION,2020,2228,ok,banner_missing,0,0,0,0.0,0.0,0,0
MEMBER COMPENSATION,2021,2229,ok,ok,102,0,102,12059239.7,0.0,0,0
