office,funding_year,start_page,status,banner_status,record_count,page_count,continuation_page_count,subtotal_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
SECRETARY FOR THE MAJORITY (D),2024,2436,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MINORITY (D),2025,2437,ok,warn,3,1,0,2,0,3,279.53,0.0,0,0
SECRETARY FOR THE MINORITY (R),2023,2438,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MINORITY (R),2024,2439,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MAJORITY (R),2025,2440,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2023,2441,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2024,2442,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,2443,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2019,2444,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2020,2445,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2023,2446,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2023,2447,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2024,2448,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2024,2449,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2025,2450,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2025,2451,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
SAA - BUSINESS CONTINUITY AND DISASTER RECOVERY FUND,,2452,ok,warn,22,2,1,3,0,22,1500622.47,0.0,0,0
SERGEANT AT ARMS FELLOWSHIPS FUND,,2454,ok,ok,3,1,0,3,0,3,8965.69,0.0,0,0
JOINT ECONOMIC COMMITTEE,2023,2455,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
JOINT ECONOMIC COMMITTEE,2024,2456,ok,warn,10,2,1,5,0,10,39768.23,0.0,0,0
JOINT ECONOMIC COMMITTEE,2025,2458,ok,warn,61,3,2,6,0,61,1516447.23,0.0,0,0
LEGISLATIVE COUNSEL,2023,2461,ok,banner_missing,2,1,0,1,0,2,6412.0,0.0,0,0
LEGISLATIVE COUNSEL,2024,2462,ok,warn,2,1,0,4,0,2,472.59,0.0,0,0
LEGISLATIVE COUNSEL,2025,2463,ok,warn,53,2,1,3,0,53,4267250.26,0.0,0,0
JOINT CONGRESSIONAL COMMITTEE ON INAUGURAL CEREMONIES,2024,2465,ok,warn,47,2,1,6,0,47,1696318.59,0.0,0,0
OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES,2023,2467,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES,2024,2468,ok,ok,3,1,0,3,0,3,1840.0,0.0,0,0
OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES,2025,2469,ok,warn,70,3,2,4,0,70,428199.53,0.0,0,0
OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES,,2472,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
COMPUTER CENTER REVOLVING FUND,,2473,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
HEALTH AND PROMOTION,,2474,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
PUBLIC RECORDS,,2475,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
GIFT SHOP,,2476,ok,fail,12,1,0,2,0,12,29553.54,0.0,0,0
PHOTOGRAPHIC STUDIO,,2477,ok,fail,2,1,0,1,0,2,5026.77,0.0,0,0
RECORDING STUDIO,,2478,ok,fail,6,1,0,2,0,6,15534.7,0.0,0,0
DANIEL WEBSTER SENATE PAGE RESIDENCE,,2479,ok,fail,13,1,0,1,0,13,15716.44,0.0,0,0
SENATE HAIR CARE,,2480,ok,fail,32,2,1,2,0,32,132457.57,0.0,0,0
"AGRICULTURE, NUTRITION AND FORESTRY S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,2482,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
